ID,Wave,Wavedummy,province,district,region,resarea,resarearural,gender,age,agegroup,educstat,educstatgroup,hhsize,hhsizegroup,lifestyle,voteintparty,voteintakp,turnout,vote2015,vote2015akp,turnout2015,workstat,unemployed,selfprosper,socialsupport,supchildeduc,suphealth,suppreg,supsenior,supwidow,supdisable,supdinkind,supother,supreceive,akpchange,persfinance,crisis,hardship,retrospers,retrossocio,prospers,prossocio,headcover,ethnicity,ethnicdummy,religiosity,hhincome,minimumwage,loghhincome,hhincgroup,incomebrac,tvnews,ginip,sedip,ginir,sedir,gdpcap17,lngdpcap17,mosques,lnmosques,mosqdens,metro,residgroup,prospect,yenidene
2187,032017,Post coup attempt,20,Sarayköy,Aegean,Town,Other,Male,27,18-28 Years,High School,High School,4,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Worker,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Saving Money,Yes,No,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Believer,1800,More than minimum wage,7.495542,1201-2000TL,Lower Middle Class,Government affiliated,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,"Independent, traditional house",Positive,More than minimum wage
2188,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,25,18-28 Years,High School,High School,5,3-5 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,,,Poor,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,,,Neutral,Neutral,Neutral,Neutral,,Kurdish,Kurdish,Religious,1200,Upto minimum wage,7.0900769,701-1200TL,Lower Class,,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,"Independent, traditional house",,Upto minimum wage
2189,032017,Post coup attempt,20,Sarayköy,Aegean,Town,Other,Male,45,29-43 Years,High School,High School,3,3-5 Persons,Religious Conservative,CHP,No,Yes,CHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,,No,Agree,Agree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,New Middle Class,Opposition affiliated,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,"Independent, traditional house",,More than minimum wage
2190,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,33,29-43 Years,Secondary School,Below High School,6,6-8 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Barely Makings Ends Meet,No,Yes,Neutral,Neutral,Neutral,Neutral,Head Scarf,Kurdish,Kurdish,Religious,900,Upto minimum wage,6.8023949,701-1200TL,Lower Class,Opposition affiliated,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,"Independent, traditional house",Positive,Upto minimum wage
2191,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,39,29-43 Years,Literate without diploma,Below High School,9,More than 9 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Unemployed,1,Lower Middle,No,No,No,No,No,Yes,No,No,No,Yes,,Making Ends Meet,Yes,No,Neutral,Neutral,Neutral,Neutral,Head Scarf,Kurdish,Kurdish,Pious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Class,,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,,Positive,More than minimum wage
2192,032017,Post coup attempt,33,Mezitli,Mediterranean,Metropolitan,Other,Male,72,44+ Years,Primary School,Below High School,7,6-8 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Believer,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,Government affiliated,.396,3.1252,.396,2.5632999,8538.2637,9.0523129,1556,7.3498735,.86699998,No,Apartment,Negative,Upto minimum wage
2193,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,22,18-28 Years,University,University,6,6-8 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,Yes,Yes,,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Neutral,Agree,Head Scarf,Kurdish,Kurdish,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,"Independent, traditional house",Negative,Upto minimum wage
2194,032017,Post coup attempt,21,Sur,Southeast Anatolia,Metropolitan,Other,Male,39,29-43 Years,High School,High School,7,6-8 Persons,Traditional Conservative,Non-voter,No,No,,,,Worker,0,Lower Middle,No,Yes,No,No,No,No,No,Yes,No,Yes,No Change,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Head Scarf,Kurdish,Kurdish,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Class,Opposition affiliated,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,Apartment,Negative,More than minimum wage
2195,032017,Post coup attempt,20,Pamukkale,Aegean,Metropolitan,Other,Male,60,44+ Years,University,University,,,Traditional Conservative,,,,MHP,No,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Agree,Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,,Government affiliated,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,Apartment,Very positive,More than minimum wage
2196,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,27,18-28 Years,Secondary School,Below High School,4,3-5 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Unemployed,1,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Kurdish,Kurdish,Religious,1100,Upto minimum wage,7.0030656,701-1200TL,Lower Class,,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,,Negative,Upto minimum wage
2197,032017,Post coup attempt,21,Ergani,Southeast Anatolia,Rural,Rural,Male,24,18-28 Years,High School,High School,8,6-8 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Student,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,No,Neutral,Neutral,Neutral,Neutral,,Kurdish,Kurdish,Religious,1750,More than minimum wage,7.467371,1201-2000TL,Lower Class,Opposition affiliated,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,,Very positive,More than minimum wage
2198,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Female,23,18-28 Years,University,University,4,3-5 Persons,Modern,MHP,No,Yes,CHP,No,Yes,Student,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,7000,More than minimum wage,8.8536654,Higher than 5001TL,Upper Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2199,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Female,30,18-28 Years,Secondary School,Below High School,,,Traditional Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Neutral,Neutral,Agree,Agree,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2200,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Female,68,44+ Years,Literate without diploma,Below High School,1,1-2 Persons,Traditional Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Disagree,Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Upper Class,,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,Upto minimum wage
2201,032017,Post coup attempt,61,Ortahisar,Eastern Black Sea,Town,Other,Female,36,29-43 Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,Non-voter,No,No,AKP,Yes,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Neutral,Disagree,Completely Agree,Completely Agree,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Opposition affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,Apartment,Negative,More than minimum wage
2202,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Female,78,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,CHP,No,Yes,Voted Blank (Protest),No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Pious,1100,Upto minimum wage,7.0030656,701-1200TL,Lower Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,Upto minimum wage
2203,032017,Post coup attempt,24,Merkez,Northeast Anatolia,Rural,Rural,Female,40,29-43 Years,Primary School,Below High School,4,3-5 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Lower Middle,Yes,No,No,No,No,No,No,Yes,No,Yes,No Change,Has to Borrow,Yes,Yes,Agree,Agree,Neutral,Neutral,No head cover,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Opposition affiliated,.352,2.1594,.38,.084299996,8768.375,9.078907,582,6.3664703,2.5139999,No,"Independent, traditional house",Negative,Upto minimum wage
2204,032017,Post coup attempt,35,Kemalpaşa,Aegean,Town,Other,Female,42,29-43 Years,Primary School,Below High School,2,1-2 Persons,Religious Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Middle Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,Upto minimum wage
2205,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Female,53,44+ Years,Secondary School,Below High School,2,1-2 Persons,Traditional Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Housewife,0,,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,1600,More than minimum wage,7.377759,1201-2000TL,Lower Middle Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2206,032017,Post coup attempt,61,Ortahisar,Eastern Black Sea,Town,Other,Female,24,18-28 Years,University,University,6,6-8 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Unemployed,1,Poor,No,No,No,No,No,No,No,No,No,No,Increase,Barely Makings Ends Meet,Yes,Yes,Agree,Completely Agree,Agree,Agree,No head cover,Other,Others,Believer,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Opposition affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,Apartment,Negative,More than minimum wage
2207,032017,Post coup attempt,35,Karabağlar,Aegean,Metropolitan,Other,Female,28,18-28 Years,Secondary School,Below High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,Yes,Yes,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2208,032017,Post coup attempt,35,Karabağlar,Aegean,Metropolitan,Other,Female,50,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,Undecided,No,Yes,,,,Housewife,0,Poor,No,No,No,No,No,No,No,No,No,No,No Change,Barely Makings Ends Meet,Yes,Yes,Agree,Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2209,032017,Post coup attempt,35,Kemalpaşa,Aegean,Town,Other,Female,35,29-43 Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Disagree,Disagree,Disagree,Neutral,Head Scarf,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,Upto minimum wage
2210,032017,Post coup attempt,35,Kemalpaşa,Aegean,Town,Other,Female,47,29-43 Years,Primary School,Below High School,2,1-2 Persons,Religious Conservative,Non-voter,No,No,CHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,Yes,Yes,Agree,Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,New Middle Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,More than minimum wage
2211,032017,Post coup attempt,35,Kemalpaşa,Aegean,Town,Other,Female,18,18-28 Years,High School,High School,4,3-5 Persons,Traditional Conservative,Non-voter,No,No,CHP,No,Yes,Student,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Disagree,Completely Agree,Neutral,Completely Agree,No head cover,Zaza,Others,Religious,,More than minimum wage,,,,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2212,032017,Post coup attempt,35,Kemalpaşa,Aegean,Town,Other,Female,63,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,Non-voter,No,No,CHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Upper Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,More than minimum wage
2213,032017,Post coup attempt,35,Çiğli,Aegean,Metropolitan,Other,Male,62,44+ Years,High School,High School,1,1-2 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Worker,0,Poor,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,,Other,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,Negative,More than minimum wage
2214,032017,Post coup attempt,35,Çiğli,Aegean,Metropolitan,Other,Male,47,29-43 Years,Primary School,Below High School,3,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Tradesman,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,No head cover,Other,Others,Believer,,More than minimum wage,,,,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,Negative,More than minimum wage
2215,032017,Post coup attempt,21,Sur,Southeast Anatolia,Metropolitan,Other,Male,20,18-28 Years,Secondary School,Below High School,4,3-5 Persons,Modern,HDP,No,Yes,HDP,No,Yes,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Neutral,Neutral,No head cover,Kurdish,Kurdish,,1700,More than minimum wage,7.4383836,1201-2000TL,New Middle Class,Government affiliated,.41999999,.63950002,.38,.1532,5002.6357,8.5177202,2025,7.6133251,1.191,No,Apartment,Negative,More than minimum wage
2216,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Male,38,29-43 Years,Secondary School,Below High School,4,3-5 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Tradesman,0,Poor,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,Yes,,Neutral,Neutral,Agree,Agree,Head Scarf,Turkish,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,Lower Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,,More than minimum wage
2217,032017,Post coup attempt,61,Akçaabat,Eastern Black Sea,Town,Other,Male,70,44+ Years,High School,High School,1,1-2 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,No,Completely Agree,Completely Agree,Completely Agree,Completely Agree,,Turkish,Others,Religious,1800,More than minimum wage,7.495542,1201-2000TL,Upper Class,Opposition affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,"Independent, traditional house",Very positive,More than minimum wage
2217,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Male,78,44+ Years,Secondary School,Below High School,2,1-2 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,21500,More than minimum wage,9.9758081,Higher than 5001TL,Upper Class,,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
2218,032017,Post coup attempt,61,Akçaabat,Eastern Black Sea,Town,Other,Male,55,44+ Years,Secondary School,Below High School,4,3-5 Persons,Traditional Conservative,CHP,No,Yes,MHP,No,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Middle Class,Government affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,Apartment,Negative,Upto minimum wage
2219,032017,Post coup attempt,61,Ortahisar,Eastern Black Sea,Town,Other,Male,23,18-28 Years,High School,High School,4,3-5 Persons,Traditional Conservative,Non-voter,No,No,Voted for Independent,No,Yes,Student,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Disagree,Disagree,Disagree,Agree,,Turkish,Others,Believer,4000,More than minimum wage,8.2940493,3001-5000TL,Upper Class,Government affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,Gated Community,Negative,More than minimum wage
2220,032017,Post coup attempt,35,Karabağlar,Aegean,Metropolitan,Other,Male,17,18-28 Years,High School,High School,2,1-2 Persons,Modern,CHP,No,Yes,Was too young to vote,No,,Unemployed,1,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Neutral,Agree,Agree,Agree,,,,Believer,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,Upto minimum wage
2221,032017,Post coup attempt,31,Antakya,Mediterranean,Town,Other,Female,38,29-43 Years,Secondary School,Below High School,8,6-8 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,Yes,No,Yes,Decrease,Barely Makings Ends Meet,,,Neutral,Neutral,Neutral,Neutral,"Hijab, Purdah",Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Class,,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,"Independent, traditional house",,More than minimum wage
2222,032017,Post coup attempt,47,Kiziltepe,Southeast Anatolia,Town,Other,Female,42,29-43 Years,Illiterate,Below High School,7,6-8 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,Yes,Yes,Neutral,Agree,Disagree,Completely Agree,Head Scarf,Kurdish,Kurdish,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Class,,.352,.032600001,.38,.1532,5415.5615,8.5970316,1156,7.052721,1.427,Yes,"Independent, traditional house",Negative,More than minimum wage
2223,032017,Post coup attempt,31,Samandağ,Mediterranean,Town,Other,Female,42,29-43 Years,Primary School,Below High School,6,6-8 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Disagree,Disagree,Disagree,Disagree,No head cover,Arab,Others,Religious,500,Upto minimum wage,6.2146082,Less than 700TL,Lower Class,Opposition affiliated,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,"Independent, traditional house",Negative,Upto minimum wage
2224,032017,Post coup attempt,6,Gölbaşi,West Anatolia,Metropolitan,Other,Female,20,18-28 Years,High School,High School,4,3-5 Persons,Modern,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Student,0,Poor,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Disagree,Agree,Neutral,Neutral,No head cover,Kurdish,Kurdish,Believer,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Opposition affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Negative,More than minimum wage
2225,032017,Post coup attempt,6,Polatli,West Anatolia,Town,Other,Female,39,29-43 Years,High School,High School,3,3-5 Persons,Traditional Conservative,Undecided,No,Yes,MHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Barely Makings Ends Meet,Yes,Yes,Neutral,Agree,Neutral,Agree,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Gated Community,Negative,More than minimum wage
2226,032017,Post coup attempt,31,Antakya,Mediterranean,Town,Other,Female,54,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,Undecided,No,Yes,Voted Blank (Protest),No,Yes,Retired,0,Poor,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,Yes,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1800,More than minimum wage,7.495542,1201-2000TL,Lower Middle Class,Opposition affiliated,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,Apartment,Positive,More than minimum wage
2227,032017,Post coup attempt,31,Samandağ,Mediterranean,Town,Other,Female,55,44+ Years,Illiterate,Below High School,8,6-8 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Has to Borrow,Yes,No,Agree,Completely Agree,Neutral,Completely Agree,No head cover,Arab,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Class,Government affiliated,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,"Independent, traditional house",Positive,More than minimum wage
2228,032017,Post coup attempt,47,Kiziltepe,Southeast Anatolia,Town,Other,Female,24,18-28 Years,High School,High School,,,Traditional Conservative,Non-voter,No,No,Voted for Independent,No,Yes,Student,0,Lower Middle,No,No,No,No,No,No,No,No,Yes,Yes,No Change,Making Ends Meet,Yes,Yes,Neutral,Neutral,Neutral,Neutral,"Hijab, Purdah",Kurdish,Kurdish,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,,Opposition affiliated,.352,.032600001,.38,.1532,5415.5615,8.5970316,1156,7.052721,1.427,Yes,Gecekondu / Unplastered Apartment,Negative,More than minimum wage
2229,032017,Post coup attempt,47,Kiziltepe,Southeast Anatolia,Town,Other,Female,37,29-43 Years,,,,,Traditional Conservative,Non-voter,No,No,Did not vote,No,No,,,Lower Middle,No,No,No,No,No,No,No,No,Yes,Yes,Increase,Making Ends Meet,No,No,Agree,Agree,Agree,Neutral,Head Scarf,Kurdish,Kurdish,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,,Opposition affiliated,.352,.032600001,.38,.1532,5415.5615,8.5970316,1156,7.052721,1.427,Yes,Apartment,Very positive,More than minimum wage
2230,032017,Post coup attempt,31,Samandağ,Mediterranean,Town,Other,Female,37,29-43 Years,Secondary School,Below High School,5,3-5 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Neutral,Agree,Neutral,Agree,No head cover,Arab,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,New Middle Class,,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,Apartment,Negative,More than minimum wage
2231,032017,Post coup attempt,34,Büyükçekmece,Istanbul,Metropolitan,Other,Female,66,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Head Scarf,Turkish,Others,Religious,,More than minimum wage,,,,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Negative,More than minimum wage
2232,032017,Post coup attempt,6,Polatli,West Anatolia,Town,Other,Female,22,18-28 Years,High School,High School,3,3-5 Persons,Modern,Undecided,No,Yes,Did not vote,No,No,Unemployed,1,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Barely Makings Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Neutral,Neutral,No head cover,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,,Negative,More than minimum wage
